Miles Driven,Cost Per Mile
"1,100",$2.40
"1,177",$2.80
"1,239",$2.20
"1,294",$2.50
"1,378",$1.90
"1,481",$2.00
"1,540",$2.20
"1,712",$1.35
"1,650",$2.00
"1,817",$1.30
"1,971",$1.20
"1,984",$1.10
"2,135",$1.35
"2,211",$1.30
"2,225",$1.30
"2,200",$1.20
"2,256",$1.10
"2,311",$1.20
"2,180",$1.20
"2,463",$1.40
"2,465",$1.20
"1,850",$1.20
"2,581",$1.10
"2,618",$0.80
"2,627",$1.10
"2,750",$1.00
"2,837",$1.32
"3,061",$1.25
3111,1.12
"3,001",$1.00
3201,1.34
3395,$1.65 
3456,$2.20 
"3,498",$1.80
3564,$1.90 
3757,$1.70 
