Category,Most important,2nd Most Important,3rd Most Important,Overall
Education,24%,14%,7%,45%
Agriculture & rural development,17%,12%,8%,37%
Poverty reduction,15%,10%,7%,32%
Reconstruction,9%,5%,4%,18%
Economic growth,7%,5%,5%,17%
Health,3%,7%,6%,16%
Job creation,4%,6%,5%,15%
Governanace,5%,5%,4%,14%
Anti-corruption,4%,4%,6%,14%
Transport,4%,4%,4%,12%
Energy,3%,4%,4%,11%
Law & Justice,2%,3%,4%,9%
Basic infrastructure,2%,3%,3%,8%
Public sector reform,2%,3%,3%,8%
Public financial management,2%,3%,3%,8%
