feature,Have not used,Not satisfied at all,Not very satisfied,Somewhat satisfied,Very satisfied,Completely satisfied
Feature A,0,0.01,0.01,0.11,0.4,0.47
Feature B,0,0.02,0.02,0.13,0.36,0.47
Feature C,0.02,0.02,0.05,0.24,0.34,0.33
Feature D,0.08,0.01,0.04,0.21,0.37,0.29
Feature E,0.06,0.01,0.06,0.23,0.36,0.28
Feature F,0.14,0.01,0.05,0.2,0.35,0.25
Feature G,0.19,0.02,0.05,0.15,0.26,0.33
Feature H,0.13,0.01,0.06,0.23,0.32,0.25
Feature I,0.22,0.02,0.05,0.17,0.27,0.27
Feature J,0.02,0.08,0.14,0.24,0.27,0.25
Feature K,0.29,0.01,0.04,0.17,0.28,0.21
Feature L,0.29,0.01,0.04,0.23,0.27,0.16
Feature M,0.33,0.03,0.08,0.25,0.18,0.13
Feature N,0.26,0.09,0.14,0.24,0.17,0.1
Feature O,0.51,0.01,0.06,0.15,0.16,0.11
